2025-06-11 17:39:12,837 | INFO | data fetching for AAPL...
2025-06-11 17:39:18,179 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:39:25,330 | INFO | data fetching for AAPL...
2025-06-11 17:39:25,358 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:39:29,883 | INFO | data fetching for AAPL...
2025-06-11 17:39:30,629 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:39:31,366 | INFO | data fetching for AAPL...
2025-06-11 17:39:31,396 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:40:35,987 | INFO | data fetching for AAPL...
2025-06-11 17:40:36,790 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:40:37,556 | INFO | data fetching for AAPL...
2025-06-11 17:40:37,588 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
INFO:root:data fetching for AAPL...
INFO:root:Data saved to csvsrc/data/raw/AAPL_stock.csv
INFO:root:data fetching for AAPL...
INFO:root:Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:41:29,719 | INFO | data fetching for AAPL...
2025-06-11 17:41:30,491 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 17:41:31,176 | INFO | data fetching for AAPL...
2025-06-11 17:41:31,204 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
INFO:root:data fetching for AAPL...
INFO:root:Data saved to csvsrc/data/raw/AAPL_stock.csv
INFO:root:data fetching for AAPL...
INFO:root:Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:01:29,180 | INFO | data fetching for AAPL...
2025-06-11 20:01:29,939 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:01:37,296 | INFO | data fetching for AAPL...
2025-06-11 20:01:38,028 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:01:40,470 | INFO | data fetching for AAPL...
2025-06-11 20:01:40,499 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:04:02,477 | INFO | data fetching for AAPL...
2025-06-11 20:04:03,394 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:04:04,198 | INFO | data fetching for AAPL...
2025-06-11 20:04:04,228 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:06:51,775 | INFO | data fetching for AAPL...
2025-06-11 20:06:52,815 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:06:53,601 | INFO | data fetching for AAPL...
2025-06-11 20:06:53,631 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:49:16,711 | INFO | data fetching for AAPL...
2025-06-11 20:49:17,623 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:49:49,141 | INFO | data fetching for AAPL...
2025-06-11 20:49:50,130 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:50:18,826 | INFO | data fetching for AAPL...
2025-06-11 20:50:19,755 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-11 20:51:10,122 | INFO | data fetching for AAPL...
2025-06-11 20:51:11,063 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-12 12:14:08,755 | INFO | data fetching for AAPL...
2025-06-12 12:14:13,519 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-12 12:14:22,964 | INFO | data fetching for AAPL...
2025-06-12 12:14:22,991 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-12 12:15:12,534 | INFO | data fetching for AAPL...
2025-06-12 12:15:13,425 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 01:30:01,653 | INFO | data fetching for AAPL...
2025-06-13 01:30:02,733 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 03:17:46,182 | INFO | data fetching for AAPL...
2025-06-13 03:17:47,263 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 10:12:27,888 | INFO | data fetching for AAPL...
2025-06-13 10:12:28,706 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 19:34:26,574 | INFO | data fetching for AAPL...
2025-06-13 19:34:27,517 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 19:34:27,544 | INFO | Fetching current market data AAPL. . .
2025-06-13 19:34:28,009 | ERROR | Something went wrong: [Errno 13] Permission denied: 'src/dataAAPL_current.csv' 
2025-06-13 19:34:53,046 | INFO | data fetching for AAPL...
2025-06-13 19:34:54,033 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-13 19:34:54,040 | INFO | Fetching current market data AAPL. . .
2025-06-13 19:34:54,470 | ERROR | Something went wrong: [Errno 13] Permission denied: 'src/dataAAPL_current.csv' 
2025-06-20 12:50:27,299 | INFO | data fetching for AAPL...
2025-06-20 12:50:33,722 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 12:50:33,744 | INFO | Fetching current market data AAPL. . .
2025-06-20 12:50:34,219 | ERROR | Something went wrong: [Errno 13] Permission denied: 'src/dataAAPL_current.csv' 
2025-06-20 13:09:15,689 | INFO | data fetching for AAPL...
2025-06-20 13:09:16,586 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:09:16,587 | INFO | data fetching for AAPL...
2025-06-20 13:09:16,634 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:09:16,642 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:09:17,160 | ERROR | Something went wrong: [Errno 13] Permission denied: 'src/dataAAPL_current.csv' 
2025-06-20 13:26:04,769 | INFO | data fetching for AAPL...
2025-06-20 13:26:05,755 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:26:05,756 | INFO | data fetching for AAPL...
2025-06-20 13:26:05,796 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:26:05,803 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:26:06,243 | ERROR | Something went wrong: [Errno 13] Permission denied: 'src/dataAAPL_current.csv' 
2025-06-20 13:32:46,144 | INFO | data fetching for AAPL...
2025-06-20 13:32:47,155 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:32:47,155 | INFO | data fetching for AAPL...
2025-06-20 13:32:47,197 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:32:47,205 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:32:47,648 | INFO | Date saved to csv: src/data/AAPL_current.csv
2025-06-20 13:34:10,624 | INFO | data fetching for AAPL...
2025-06-20 13:34:11,529 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:34:11,530 | INFO | data fetching for AAPL...
2025-06-20 13:34:11,562 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:34:11,569 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:34:12,056 | INFO | Date saved to csv: src/data/AAPL_current.csv
2025-06-20 13:34:12,060 | INFO | data fetching for AAPL...
2025-06-20 13:34:12,103 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:34:32,133 | INFO | data fetching for AAPL...
2025-06-20 13:34:33,119 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:34:33,120 | INFO | data fetching for AAPL...
2025-06-20 13:34:33,167 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:34:33,175 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:34:33,642 | INFO | Date saved to csv: src/data/AAPL_current.csv
2025-06-20 13:34:33,645 | INFO | data fetching for AAPL...
2025-06-20 13:34:33,683 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:36:20,651 | INFO | data fetching for AAPL...
2025-06-20 13:36:21,586 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:36:21,586 | INFO | data fetching for AAPL...
2025-06-20 13:36:21,637 | INFO | Data saved to csvsrc/data/raw/AAPL_stock.csv
2025-06-20 13:36:21,648 | INFO | Fetching current market data AAPL. . .
2025-06-20 13:36:22,106 | INFO | Date saved to csv: src/data/AAPL_current.csv
2025-06-20 13:36:22,109 | INFO | data fetching for AAPL...
